# Plane normal then slip direction
green, green, green, green, red, red, red, red, blue, blue, blue, blue
0	1	-1	1	1	1
-1	0	1	1	1	1
1	-1	0	1	1	1
0	1	1	1	1	-1
-1	0	-1	1	1	-1
1	-1	0	1	1	-1
0	1	-1	-1	1	1
1	0	1	-1	1	1
-1	-1	0	-1	1	1
0	-1	-1	1	-1	1
-1	0	1	1	-1	1
1	1	0	1	-1	1
-2	1	1	1	1	1
1	-2	1	1	1	1
1	1	-2	1	1	1
2	-1	1	-1	-1	1
-1	2	1	-1	-1	1
1	1	2	-1	-1	1
2	1	-1	1	-1	1
1	2	1	1	-1	1
-1	1	2	1	-1	1
2	1	1	-1	1	1
1	2	-1	-1	1	1
1	-1	2	-1	1	1
1	2	3	1	1	-1
1	3	2	1	-1	1
3	1	2	-1	1	1
3	2	1	-1	1	1
2	1	3	1	1	-1
2	3	1	1	-1	1
1	2	3	1	1	1
1	3	2	1	1	1
3	1	2	1	1	1
2	1	3	1	1 	1
2	3	1 	1	1	1
1 	2 	3	-1	1	1
1	3	2	-1	1	1
3	1	2	1	-1	1
3	2	1	1	1	-1
2	1	3	1	-1	1
2	3	1	1	1	-1
-1	2	3	1	-1	1
-1	3	2	1	1	-1
3	-1	2	1	1	-1
3	2	-1	1	-1	1
2	-1	3	-1	1	1
2	3	-1	-1	1	1
